currentWord	currentWordCount	targetNodeAtt	chapterName
meteorite	2	Chapter Name	diavolo-emerges-part3
strikes	2	Chapter Name	diavolo-emerges-part3
greenland	2	Chapter Name	diavolo-emerges-part3
trish"s	1	Chapter Name	diavolo-emerges-part3
soul	11	Chapter Name	diavolo-emerges-part3
soul	5	Chapter Name	diavolo-emerges-part5
soul	9	Chapter Name	diavolo_emerges_part1
soul	3	Chapter Name	diavolo_emerges_part2
soul	1	Chapter Name	Jojos-part-5-ger-chapter-1
soul	1	Chapter Name	Jojos-part-5-ger-chapter-4
possessed	1	Chapter Name	diavolo-emerges-part3
possessed	2	Chapter Name	diavolo_emerges_part1
possessed	2	Chapter Name	diavolo_emerges_part2
mista	11	Chapter Name	diavolo-emerges-part3
mista	2	Chapter Name	diavolo-emerges-part4
mista	1	Chapter Name	diavolo-emerges-part5
mista	4	Chapter Name	diavolo_emerges_part1
mista	4	Chapter Name	diavolo_emerges_part2
mista	2	Chapter Name	Jojos-part-5-ger-chapter-1
mista	2	Chapter Name	Jojos-part-5-ger-chapter-4
mista	1	Chapter Name	king-of-kings
turtle	1	Chapter Name	diavolo-emerges-part3
turtle	4	Chapter Name	diavolo_emerges_part2
polnareff	1	Chapter Name	diavolo-emerges-part3
polnareff	2	Chapter Name	diavolo_emerges_part1
polnareff	4	Chapter Name	diavolo_emerges_part2
polnareff	1	Chapter Name	king-of-kings
giorno	2	Chapter Name	diavolo-emerges-part3
giorno	1	Chapter Name	diavolo-emerges-part4
giorno	2	Chapter Name	diavolo-emerges-part5
giorno	9	Chapter Name	diavolo_emerges_part1
giorno	9	Chapter Name	diavolo_emerges_part2
giorno	11	Chapter Name	Jojos-part-5-ger-chapter-1
giorno	4	Chapter Name	Jojos-part-5-ger-chapter-2
giorno	3	Chapter Name	Jojos-part-5-ger-chapter-3
giorno	4	Chapter Name	Jojos-part-5-ger-chapter-4
giorno	9	Chapter Name	king-of-kings
bueccellati's	1	Chapter Name	diavolo-emerges-part3
diavolo's	1	Chapter Name	diavolo-emerges-part3
king	6	Chapter Name	diavolo-emerges-part3
king	6	Chapter Name	diavolo-emerges-part4
king	4	Chapter Name	diavolo-emerges-part5
king	2	Chapter Name	diavolo_emerges_part1
king	10	Chapter Name	diavolo_emerges_part2
king	6	Chapter Name	Jojos-part-5-ger-chapter-1
king	6	Chapter Name	Jojos-part-5-ger-chapter-2
king	3	Chapter Name	Jojos-part-5-ger-chapter-3
king	3	Chapter Name	Jojos-part-5-ger-chapter-4
king	6	Chapter Name	king-of-kings
crimson	3	Chapter Name	diavolo-emerges-part3
crimson	4	Chapter Name	diavolo-emerges-part4
crimson	3	Chapter Name	diavolo-emerges-part5
crimson	2	Chapter Name	diavolo_emerges_part1
crimson	8	Chapter Name	diavolo_emerges_part2
crimson	3	Chapter Name	Jojos-part-5-ger-chapter-1
crimson	4	Chapter Name	Jojos-part-5-ger-chapter-2
crimson	2	Chapter Name	Jojos-part-5-ger-chapter-3
crimson	4	Chapter Name	king-of-kings
trish's	1	Chapter Name	diavolo-emerges-part3
trish's	4	Chapter Name	diavolo-emerges-part5
spice	1	Chapter Name	diavolo-emerges-part3
spice	2	Chapter Name	diavolo-emerges-part4
spice	2	Chapter Name	diavolo_emerges_part2
girl	1	Chapter Name	diavolo-emerges-part3
girl	1	Chapter Name	diavolo-emerges-part4
girl	1	Chapter Name	diavolo-emerges-part5
uaahh	1	Chapter Name	diavolo-emerges-part3
koh	1	Chapter Name	diavolo-emerges-part3
kuh	2	Chapter Name	diavolo-emerges-part3
kuh	3	Chapter Name	Jojos-part-5-ger-chapter-3
diavolo	5	Chapter Name	diavolo-emerges-part3
diavolo	1	Chapter Name	diavolo-emerges-part4
diavolo	3	Chapter Name	diavolo-emerges-part5
diavolo	4	Chapter Name	diavolo_emerges_part1
diavolo	5	Chapter Name	diavolo_emerges_part2
diavolo	2	Chapter Name	Jojos-part-5-ger-chapter-1
diavolo	3	Chapter Name	Jojos-part-5-ger-chapter-2
diavolo	1	Chapter Name	Jojos-part-5-ger-chapter-3
diavolo	3	Chapter Name	king-of-kings
emerges	2	Chapter Name	diavolo-emerges-part3
emerges	1	Chapter Name	diavolo-emerges-part4
emerges	2	Chapter Name	diavolo-emerges-part5
emerges	1	Chapter Name	diavolo_emerges_part1
emerges	2	Chapter Name	diavolo_emerges_part2
part	2	Chapter Name	diavolo-emerges-part3
part	1	Chapter Name	diavolo-emerges-part4
part	3	Chapter Name	diavolo-emerges-part5
part	4	Chapter Name	diavolo_emerges_part1
part	2	Chapter Name	diavolo_emerges_part2
part	1	Chapter Name	Jojos-part-5-ger-chapter-1
part	1	Chapter Name	Jojos-part-5-ger-chapter-4
enough	1	Chapter Name	diavolo-emerges-part3
enough	1	Chapter Name	diavolo-emerges-part4
enough	1	Chapter Name	diavolo_emerges_part1
control	3	Chapter Name	diavolo-emerges-part3
control	1	Chapter Name	diavolo_emerges_part1
control	2	Chapter Name	diavolo_emerges_part2
control	2	Chapter Name	Jojos-part-5-ger-chapter-1
make	4	Chapter Name	diavolo-emerges-part3
make	1	Chapter Name	diavolo-emerges-part4
make	1	Chapter Name	diavolo_emerges_part1
make	1	Chapter Name	diavolo_emerges_part2
make	1	Chapter Name	Jojos-part-5-ger-chapter-3
make	1	Chapter Name	king-of-kings
body	4	Chapter Name	diavolo-emerges-part3
body	4	Chapter Name	diavolo-emerges-part5
body	13	Chapter Name	diavolo_emerges_part1
body	13	Chapter Name	diavolo_emerges_part2
body	1	Chapter Name	Jojos-part-5-ger-chapter-1
body	6	Chapter Name	Jojos-part-5-ger-chapter-3
body	1	Chapter Name	Jojos-part-5-ger-chapter-4
run	6	Chapter Name	diavolo-emerges-part3
run	1	Chapter Name	diavolo-emerges-part4
run	1	Chapter Name	diavolo_emerges_part1
run	1	Chapter Name	Jojos-part-5-ger-chapter-1
run	9	Chapter Name	king-of-kings
grab	3	Chapter Name	diavolo-emerges-part3
grab	1	Chapter Name	diavolo-emerges-part5
grab	1	Chapter Name	diavolo_emerges_part2
stand	3	Chapter Name	diavolo-emerges-part3
stand	1	Chapter Name	diavolo-emerges-part5
stand	4	Chapter Name	diavolo_emerges_part2
