anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	23
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	22
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cop	16
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kid	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girls	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Creep	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Driver	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Luca	40
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	88
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Koichi	90
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Whack,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Jotaro	25
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Act	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Glob	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	57
