anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mom	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Shiobana,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	29
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dad	11
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kid	16
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Popo	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kids	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	94
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	X	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	92
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Gold	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bagyah,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Rumble,Sfx	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Whoosh,Sfx	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boom,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kabaam,Sfx	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy C	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Jump,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Thud,Sfx	1
