anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	100
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	33
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kid	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kids	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Loom,Sfx	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cop	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	24
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Polpo	49
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Old	18
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Koichi	14
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Whoosh,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Black	9
