anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	122
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Black	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girono	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Koichi	83
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Reverb	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bam,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	The_Next_Day,Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Polpo	35
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Jotaro	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	3
