anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	115
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	16
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sale	37
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mario	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Rome___a_m_,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	34
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Waiter	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	44
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	50
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bg fugo	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	44
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy bg	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Menini	11
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Msita	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	40
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Scooter	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Naran	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Naraa	1
