anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	88
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Isacco	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pimp	21
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	125
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno bg	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign top	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign bot	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bzzzzzz,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mario	34
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Baaaaaa,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fwip,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pop,Sfx	1
