anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	95
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Six	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bazoo,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Thug	11
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sale	85
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign top	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign bot	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	10
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bam,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Seven	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	All	1
