anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	34
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	91
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	24
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	17
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crack,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Peri	74
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Prei	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Plop,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	MistA	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Form	77
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	31
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Find_them,Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sfx	1
