anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Form	103
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	62
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Narancia_s_Heigh,Sign	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Formaggio	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pesci	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Prosciutto	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pros	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Risotto	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Illuso	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghiaccio	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Melone	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghiacchio	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghia	1
