anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	118
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Form	104
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mom	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Blonde	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cop	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Old	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	18
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Narancia_s_Heigh,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bazoo,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	4
