anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	13
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	45
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	54
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	63
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	10
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Narancia_s_Heigh,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pro	54
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pesci	41
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kid	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	4
