anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pesci	65
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pro	99
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	37
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Two	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Seven	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Six	10
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Old	14
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Three	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	27
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Misa	1
