anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Phone	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Melone	105
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Anita	37
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Smack,Sfx	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	25
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Six	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Three	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	20
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Baby	30
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	7
