anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghiaccio	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Risotto	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghia	53
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Riso	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Baby	20
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Melone	24
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	GW	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crush,Sfx	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	13
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Old	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	55
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Peri	14
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Two	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Three	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	All	1
