anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	59
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	96
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghia	76
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	MistA	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Six	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Seven	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Three	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Two	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Both	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guard	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	17
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sfx	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Gold	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Risotto_s_wherea,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	4
