anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	138
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	11
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dad	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mom	17
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nurse	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cop	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Thud,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Punk	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	22
