anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	20
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	32
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	40
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	27
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	106
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	62
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Burno	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	50
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Doppio	3
