anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	81
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	47
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	40
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Two	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Three	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	66
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Squalo	14
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Tiziano	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Aba	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	44
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giono	1
