anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Squalo	81
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Tiziano	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	117
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Tizi	71
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	10
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	11
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Rome___a_m_,Nara	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giorno	11
