anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	70
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	20
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	49
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	40
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	GIO	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Runo	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Tirsh	2
