anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	20
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Inmate	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Inamate	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Doppio	105
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Man	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	10
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Priest	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	45
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boy	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Driver	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Diavolo	28
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kid	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Taxi	13
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Risotto	37
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	9
