anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	74
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dopp	104
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Riso	94
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pro	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Ghia	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Form	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pesci	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Melone	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Illu	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	3
