anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	30
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Riso	13
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	68
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	42
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	71
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Rios	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Kid	29
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dop	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cop	39
