anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	41
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Man	73
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	14
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dop	21
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	37
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	22
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	32
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Drunk	19
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cio	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Eulogy_Predicts_ - Copy,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Eulogy_Predicts_,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	1
