anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	67
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	86
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Cio	42
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Zip	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Secco	21
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Giio	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	3
