anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	51
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dopp	60
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Driver	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	8
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Boss	50
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pol	58
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Both	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	42
