anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Turtle	62
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	17
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	25
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	No_one_can_escap,Op subs	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	51
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	19
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	50
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Three	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dog	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Baby	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Seven	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Narancia	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Trish	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	2
