anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	7
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dopp	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	No_one_can_escap,Op subs	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Turtle	27
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	17
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	45
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	71
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	King	49
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Who_swapped_with,King	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bucciarati,Sign	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bull	3
