anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	King	33
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	117
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	No_one_can_escap,Op subs	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	29
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Two	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	21
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	25
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	5
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Diavolo	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	GW	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Gw	11
