anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	72
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Nara	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	22
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Dia	51
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	No_one_can_escap,Op subs	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	11
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	48
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Lady	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Girl	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	54
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	4
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bad_luck,Sign	3
