anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Op subs	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Mista	117
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sco	63
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*llet	14
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Five	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	15
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bad_luck,Sign	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Six	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	One	3
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	B*ll*ts	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	17
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	MistA	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Msita	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Trish	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Crunch,Sfx	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Turtle	2
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Pol	8
