rank	word	count
1	it's	22
2	about	21
3	that's	20
4	giorno	20
5	don't	19
6	get	18
7	you're	17
8	i'm	17
9	i'll	16
10	tell	16
11	can	15
12	say	15
13	right	14
14	one	14
15	how	13
16	who	13
17	giovanna	12
18	like	11
19	here	10
20	see	10
21	out	10
22	even	10
23	if	10
24	luca	10
25	hey	9
26	told	9
27	time	9
28	stand	9
29	eye	9
30	any	8
31	all	8
32	want	8
33	think	8
34	into	8
35	well	8
36	know	8
37	some	8
38	money	8
39	he's	8
40	as	7
41	city	7
42	there	7
43	up	7
44	sure	7
45	luggage	7
46	own	7
47	back	7
48	leaky	7
49	why	7
50	airport	7
