rank	word	count
1	giorno	29
2	i'm	17
3	going	17
4	you're	15
5	don't	13
6	one	12
7	who	12
8	ability	12
9	why	12
10	up	11
11	here	11
12	man	11
13	if	11
14	giovanna	10
15	go	10
16	out	10
17	about	10
18	that's	10
19	over	9
20	can	9
21	how	8
22	get	8
23	he's	8
24	golden	8
25	wind	8
26	know	8
27	zipper	8
28	right	8
29	as	7
30	it's	7
31	like	7
32	there	7
33	when	7
34	come	7
35	into	7
36	i'll	7
37	stand	7
38	now	7
39	always	6
40	giorno's	6
41	mother	6
42	kid	6
43	because	6
44	wouldn't	6
45	take	6
46	back	6
47	damn	6
48	didn't	6
49	even	6
50	any	6
