rank	word	count
1	out	22
2	flame	19
3	lighter	16
4	like	14
5	if	13
6	go	13
7	you're	12
8	going	12
9	i'm	12
10	it's	12
11	organization	11
12	i'll	11
13	up	11
14	one	10
15	that's	10
16	join	9
17	doesn't	9
18	can	8
19	giorno	8
20	polpo	8
21	right	8
22	anything	8
23	who	7
24	actually	7
25	from	7
26	he's	7
27	all	7
28	stand	7
29	into	7
30	make	7
31	sure	7
32	over	6
33	take	6
34	pass	6
35	find	6
36	can't	6
37	as	6
38	giovanna	6
39	leave	6
40	room	6
41	through	6
42	hand	6
43	now	6
44	well	6
45	when	6
46	test	6
47	see	6
48	get	5
49	means	5
50	you'll	5
