rank	word	count
1	it's	18
2	stand	17
3	arrow	15
4	one	14
5	if	14
6	out	11
7	going	11
8	like	11
9	can	11
10	into	11
11	giorno	11
12	i'll	10
13	only	10
14	all	10
15	that's	10
16	don't	10
17	about	10
18	lighter	9
19	i'm	9
20	useless	9
21	able	9
22	right	9
23	there	8
24	relit	8
25	shadows	8
26	sunlight	8
27	ability	8
28	shadow	7
29	even	7
30	as	7
31	giovanna	7
32	because	7
33	more	6
34	two	6
35	old	6
36	now	6
37	move	6
38	saw	6
39	thing	6
40	user	6
41	wrong	5
42	didn't	5
43	way	5
44	who	5
45	chosen	5
46	he's	5
47	possible	5
48	paths	5
49	see	5
50	path	5
