rank	word	count
1	one	23
2	it's	22
3	bucciarati	22
4	going	20
5	hey	19
6	if	18
7	narancia	18
8	up	17
9	can	17
10	you're	16
11	like	15
12	where	15
13	out	15
14	from	14
15	that's	14
16	i'm	14
17	don't	13
18	right	13
19	we're	13
20	giorno	13
21	there	12
22	polpo	12
23	even	12
24	get	11
25	about	11
26	as	10
27	now	10
28	money	10
29	five	10
30	who	9
31	know	9
32	fortune	9
33	he's	9
34	i'll	9
35	guys	8
36	someone	8
37	suicide	8
38	there's	8
39	billion	8
40	something	8
41	what's	8
42	why	8
43	all	8
44	team	7
45	want	7
46	boss	7
47	way	7
48	some	7
49	can't	7
50	capo	7
