rank	word	count
1	where	29
2	abbacchio	21
3	it's	21
4	right	18
5	there	17
6	giorno	15
7	you're	13
8	like	12
9	i'm	12
10	i'll	11
11	from	10
12	all	10
13	if	10
14	out	10
15	he's	10
16	bucciarati	10
17	know	9
18	one	9
19	get	9
20	enemy	9
21	police	8
22	moody	8
23	mystery	8
24	narancia	8
25	enemy's	8
26	k*ll	8
27	now	7
28	go	7
29	around	7
30	back	7
31	gonna	7
32	b*stard	7
33	hiding	7
34	even	6
35	up	6
36	see	6
37	stand	6
38	don't	6
39	going	6
40	how	6
41	jazz	6
42	pipe	6
43	very	5
44	hey	5
45	doing	5
46	as	5
47	got	5
48	die	5
49	solve	5
50	they're	5
