rank	word	count
1	if	26
2	there	22
3	he's	21
4	get	17
5	one	16
6	like	16
7	boat	16
8	zucchero	14
9	radio	14
10	don't	13
11	guy	13
12	i'll	13
13	going	13
14	right	12
15	about	12
16	hey	11
17	it's	11
18	from	11
19	probably	11
20	who	10
21	stand	10
22	hell	10
23	giorno	10
24	mista	10
25	watchhouse	10
26	look	9
27	capri	9
28	island	9
29	bucciarati	9
30	now	9
31	know	9
32	come	9
33	lagoon	9
34	out	9
35	all	8
36	i'm	8
37	waiting	8
38	take	7
39	got	7
40	you're	7
41	up	7
42	heading	7
43	yeah	7
44	already	7
45	there's	7
46	here	6
47	ten	6
48	make	6
49	isn't	6
50	time	6
