rank	word	count
1	boss	23
2	one	20
3	i'm	19
4	all	17
5	as	17
6	how	16
7	if	16
8	right	16
9	that's	16
10	about	15
11	who	15
12	here	15
13	go	14
14	now	14
15	bucciarati	14
16	know	13
17	up	13
18	out	13
19	i'll	13
20	well	12
21	hell	12
22	daughter	12
23	you're	11
24	going	11
25	don't	11
26	boss's	11
27	like	10
28	narancia	10
29	get	10
30	k*ll	10
31	from	10
32	over	10
33	polpo	10
34	trish	10
35	car	10
36	sure	9
37	where	9
38	why	9
39	we're	9
40	huh	9
41	it's	9
42	around	8
43	anyone	8
44	he's	8
45	something	7
46	then	7
47	can	7
48	there	7
49	way	7
50	come	7
