rank	word	count
1	out	19
2	i'm	14
3	get	14
4	from	13
5	it's	13
6	you're	11
7	all	11
8	here	11
9	up	11
10	how	10
11	like	10
12	think	10
13	way	9
14	go	9
15	damn	9
16	find	9
17	there	9
18	back	8
19	too	8
20	can't	8
21	ability	8
22	as	8
23	when	8
24	same	8
25	that's	8
26	going	7
27	now	7
28	where	7
29	hell	7
30	stand	6
31	they're	6
32	about	6
33	one	6
34	need	6
35	more	6
36	things	6
37	right	6
38	pocket	6
39	sure	5
40	getting	5
41	li'l	5
42	b*stard	5
43	where'd	5
44	isn't	5
45	won't	5
46	shrinking	5
47	gonna	5
48	team	5
49	little	5
50	by	5
