rank	word	count
1	if	20
2	narancia	19
3	get	17
4	from	16
5	now	15
6	it's	14
7	like	14
8	you're	13
9	about	13
10	don't	13
11	where	12
12	damn	12
13	going	12
14	all	12
15	out	11
16	i'm	11
17	tell	11
18	up	11
19	sh*t	10
20	can	10
21	think	9
22	when	9
23	here	9
24	boss	9
25	li'l	8
26	got	8
27	back	8
28	daughter	8
29	how	8
30	that's	8
31	want	7
32	eye	7
33	as	7
34	go	7
35	even	7
36	time	6
37	bomber	6
38	need	6
39	boss's	6
40	tiny	6
41	bucciarati	6
42	know	6
43	b*stard	6
44	fire	6
45	key	6
46	stand	5
47	didn't	5
48	move	5
49	ability	5
50	away	5
