rank	word	count
1	fugo	34
2	mirror	22
3	get	20
4	giorno	19
5	here	19
6	stand	18
7	there	16
8	don't	16
9	as	15
10	right	15
11	that's	15
12	about	14
13	out	14
14	from	13
15	fugo's	13
16	one	13
17	something	13
18	like	12
19	if	11
20	see	11
21	now	10
22	i'm	10
23	going	10
24	where	10
25	then	9
26	up	9
27	ability	9
28	come	9
29	virus	9
30	abbacchio	8
31	when	8
32	he's	8
33	purple	8
34	stop	8
35	by	7
36	all	7
37	we're	7
38	you're	7
39	i'll	7
40	well	7
41	it's	7
42	smoke	7
43	can	7
44	pompeii	6
45	key	6
46	even	6
47	know	6
48	there's	6
49	back	6
50	pillar	6
