rank	word	count
1	mirror	29
2	key	25
3	giorno	21
4	here	18
5	get	16
6	if	15
7	it's	14
8	can	14
9	going	13
10	from	13
11	that's	13
12	now	13
13	i'm	12
14	purple	11
15	damn	11
16	out	11
17	hand	11
18	virus	11
19	you're	10
20	outside	10
21	fugo	10
22	abbacchio	9
23	where	9
24	dragged	9
25	stand	9
26	i'll	9
27	off	9
28	he's	8
29	even	8
30	into	8
31	infected	8
32	need	7
33	one	7
34	take	7
35	something	7
36	thing	7
37	too	7
38	up	7
39	can't	7
40	all	7
41	don't	7
42	then	7
43	there	6
44	man	6
45	smoke	6
46	only	6
47	way	6
48	who	6
49	like	6
50	when	6
