rank	word	count
1	giorno	22
2	one	18
3	it's	17
4	going	14
5	if	12
6	you're	12
7	there	12
8	out	12
9	he's	12
10	right	11
11	all	11
12	about	10
13	i'm	10
14	that's	10
15	get	10
16	giovanna	9
17	bucciarati	9
18	by	9
19	useless	9
20	now	9
21	only	9
22	as	8
23	can	8
24	don't	8
25	over	8
26	capo	8
27	mista	8
28	where	8
29	let	7
30	polpo	7
31	go	7
32	up	7
33	then	7
34	ability	7
35	fortune	7
36	mystery	7
37	see	6
38	into	6
39	from	6
40	two	6
41	even	6
42	left	6
43	b*llet	6
44	boss's	5
45	someone	5
46	take	5
47	i'll	5
48	organization	5
49	when	5
50	around	5
