rank	word	count
1	train	22
2	there	19
3	i'm	17
4	here	15
5	don't	15
6	it's	15
7	we're	13
8	something	13
9	bucciarati	12
10	about	11
11	you're	11
12	get	11
13	think	11
14	there's	11
15	hey	11
16	if	11
17	turtle	10
18	going	10
19	up	10
20	all	10
21	they're	10
22	aging	10
23	huh	8
24	station	8
25	take	8
26	what's	8
27	way	8
28	enemy	8
29	can't	8
30	too	8
31	some	8
32	hell	8
33	like	8
34	key	7
35	go	7
36	we'll	7
37	really	7
38	gonna	7
39	right	7
40	one	7
41	even	7
42	know	7
43	damn	6
44	by	6
45	mista	6
46	say	6
47	from	6
48	only	6
49	pesci	6
50	aren't	6
