rank	word	count
1	if	20
2	don't	18
3	it's	17
4	ice	17
5	you're	17
6	all	16
7	up	13
8	i'm	13
9	here	12
10	mista	12
11	pesci	12
12	one	11
13	bro	11
14	get	11
15	bucciarati	10
16	need	9
17	now	9
18	thankful	8
19	there	8
20	hell	8
21	that's	8
22	right	8
23	find	8
24	death	7
25	into	7
26	can't	7
27	going	7
28	about	7
29	go	6
30	turtle	6
31	something	6
32	stand	6
33	aging	6
34	crew	6
35	fast	6
36	line	6
37	out	6
38	even	6
39	too	6
40	die	6
41	driver's	6
42	doesn't	5
43	thing	5
44	where	5
45	who	5
46	trish	5
47	way	5
48	matter	5
49	b*stard	5
50	guy	5
