rank	word	count
1	get	16
2	if	16
3	bucciarati	14
4	it's	13
5	i'm	13
6	trish	12
7	now	11
8	one	11
9	about	11
10	you're	11
11	good	11
12	like	10
13	from	10
14	into	10
15	going	10
16	up	10
17	right	9
18	all	9
19	don't	9
20	out	9
21	there's	9
22	as	9
23	something	9
24	make	9
25	k*ll	9
26	go	9
27	di	8
28	molto	8
29	turtle	8
30	ability	8
31	train	7
32	can	7
33	what's	7
34	very	7
35	well	7
36	here	7
37	babyhead	7
38	some	7
39	tell	7
40	see	7
41	sure	7
42	newbie	7
43	hell	6
44	need	6
45	that's	6
46	more	6
47	how	6
48	yet	6
49	able	5
50	bucciarati's	5
