rank	word	count
1	get	16
2	car	16
3	i'm	15
4	can	14
5	up	13
6	going	13
7	from	12
8	i'll	11
9	venice	11
10	you're	11
11	it's	11
12	go	10
13	even	10
14	station	10
15	got	9
16	we're	9
17	as	9
18	hand	9
19	sh*t	9
20	hell	9
21	damn	9
22	now	9
23	giorno	9
24	here	8
25	still	8
26	turtle	8
27	trish	8
28	like	8
29	what's	8
30	there	8
31	one	8
32	melone	7
33	out	7
34	how	7
35	away	7
36	right	7
37	there's	7
38	if	7
39	wind	7
40	over	7
41	can't	7
42	about	6
43	into	6
44	hey	6
45	why	6
46	by	6
47	only	6
48	burn	6
49	order	6
50	number	6
