rank	word	count
1	mista	29
2	up	24
3	get	23
4	can	19
5	resolve	18
6	if	17
7	i'm	15
8	out	15
9	giorno	14
10	ice	13
11	more	13
12	now	13
13	see	13
14	into	12
15	some	12
16	he's	12
17	can't	12
18	path	12
19	that's	11
20	like	11
21	take	10
22	don't	10
23	it's	9
24	one	9
25	air	9
26	there	8
27	you're	8
28	need	8
29	right	8
30	too	8
31	something	8
32	life	7
33	still	7
34	grass	7
35	even	7
36	b*ll*ts	7
37	we're	6
38	hell	6
39	gonna	6
40	white	6
41	grow	6
42	who	6
43	damn	6
44	back	6
45	go	6
46	two	6
47	hole	6
48	hurry	5
49	thing	5
50	away	5
