rank	word	count
1	right	23
2	now	21
3	there	19
4	going	18
5	father	18
6	from	16
7	bucciarati	15
8	i'll	15
9	boss	14
10	all	14
11	trish	12
12	go	12
13	mission	11
14	know	11
15	good	11
16	as	10
17	here	9
18	don't	9
19	who	9
20	dad	9
21	i'm	8
22	daughter	8
23	after	8
24	take	8
25	only	8
26	you're	8
27	about	8
28	bruno	8
29	get	7
30	like	7
31	even	7
32	if	7
33	it's	7
34	one	7
35	up	7
36	he's	7
37	got	7
38	want	7
39	what's	6
40	top	6
41	you'll	6
42	organization	6
43	by	6
44	time	5
45	anything	5
46	other	5
47	island	5
48	tower	5
49	two	5
50	where	5
