rank	word	count
1	bucciarati	27
2	boss	19
3	going	18
4	now	17
5	giorno	16
6	right	16
7	all	15
8	i'm	14
9	don't	14
10	out	14
11	can	13
12	as	13
13	trish	13
14	get	13
15	ability	12
16	if	12
17	can't	12
18	go	12
19	know	11
20	you're	11
21	come	11
22	need	11
23	time	10
24	here	9
25	even	9
26	from	8
27	it's	8
28	by	8
29	emperor	8
30	movements	8
31	i'll	8
32	think	7
33	one	7
34	world	7
35	still	7
36	order	7
37	narancia	6
38	own	6
39	there	6
40	only	6
41	we're	6
42	didn't	6
43	because	6
44	matter	6
45	find	6
46	never	6
47	let	6
48	escape	6
49	how	6
50	why	6
