rank	word	count
1	going	15
2	i'm	14
3	right	14
4	up	14
5	who	13
6	as	13
7	all	12
8	get	12
9	when	11
10	then	11
11	team	11
12	i'll	11
13	even	10
14	one	10
15	out	10
16	bucciarati	10
17	from	9
18	you're	9
19	like	9
20	own	9
21	that's	9
22	boss	9
23	it's	8
24	don't	8
25	about	8
26	now	8
27	stop	8
28	mista	8
29	giorno	8
30	if	7
31	something	7
32	again	7
33	he's	7
34	resolve	6
35	because	6
36	after	6
37	into	6
38	think	6
39	find	6
40	how	6
41	by	6
42	organization	6
43	fugo	6
44	started	6
45	path	6
46	more	6
47	they're	6
48	daughter	6
49	order	5
50	join	5
