rank	word	count
1	narancia	27
2	like	17
3	enemy	16
4	there	15
5	here	15
6	out	14
7	don't	13
8	i'm	12
9	going	12
10	if	12
11	let's	12
12	see	12
13	now	12
14	right	11
15	from	11
16	giorno	11
17	there's	11
18	boss	10
19	about	10
20	all	10
21	yeah	10
22	something	9
23	can	9
24	that's	9
25	really	8
26	well	8
27	then	8
28	huh	8
29	stand	8
30	trish	8
31	look	7
32	bucciarati	7
33	know	7
34	mean	7
35	can't	7
36	get	7
37	find	7
38	who	7
39	soup	7
40	water	7
41	after	6
42	mista	6
43	we're	6
44	into	6
45	anything	6
46	take	6
47	he's	6
48	what's	6
49	time	6
50	one	6
