rank	word	count
1	giorno	24
2	breathing	23
3	from	16
4	he's	16
5	out	16
6	can't	15
7	there	14
8	go	14
9	talking	13
10	can	13
11	i'm	13
12	there's	12
13	tongue	12
14	narancia	12
15	giorno's	12
16	if	12
17	going	12
18	squalo	12
19	now	12
20	down	12
21	it's	11
22	all	11
23	here	11
24	don't	10
25	got	10
26	right	10
27	track	9
28	crush	9
29	as	9
30	said	9
31	because	9
32	stand	8
33	even	8
34	liquid	8
35	get	8
36	shoot	8
37	find	8
38	you're	8
39	mouth	7
40	one	7
41	able	7
42	after	7
43	found	7
44	b*stard	6
45	according	6
46	away	6
47	enemy	6
48	wh-what	6
49	about	6
50	like	6
