rank	word	count
1	it's	21
2	giorno	18
3	get	17
4	plane	16
5	stand	14
6	out	12
7	there	11
8	right	10
9	going	10
10	all	10
11	can	10
12	something	10
13	useless	10
14	from	9
15	sardinia	9
16	about	9
17	as	9
18	life	9
19	even	9
20	who	9
21	if	9
22	up	9
23	mista	9
24	one	9
25	off	8
26	there's	8
27	he's	8
28	like	8
29	golden	8
30	now	7
31	any	7
32	thing	7
33	i'm	7
34	how	7
35	some	7
36	user	6
37	you're	6
38	go	6
39	narancia	6
40	only	6
41	hey	6
42	too	6
43	arm	6
44	movement	6
45	let's	5
46	find	5
47	don't	5
48	energy	5
49	speed	5
50	sure	5
