rank	word	count
1	it's	19
2	thing	19
3	if	17
4	going	16
5	now	14
6	trish	14
7	up	12
8	brooch	11
9	move	10
10	i'm	10
11	don't	10
12	can	9
13	can't	9
14	make	9
15	hand	8
16	slowly	8
17	get	8
18	ability	8
19	out	7
20	i'll	7
21	seat	7
22	like	7
23	made	7
24	we're	7
25	as	7
26	right	7
27	plane	7
28	things	7
29	giorno's	6
30	left	6
31	also	6
32	than	6
33	giorno	6
34	into	6
35	why	6
36	all	6
37	bucciarati	6
38	stand	6
39	that's	5
40	protect	5
41	b-but	5
42	faster	5
43	one	5
44	after	5
45	closet	5
46	too	5
47	need	5
48	even	5
49	falling	5
50	here	5
