rank	word	count
1	ring	33
2	don't	19
3	you're	18
4	see	16
5	here	14
6	i'll	14
7	get	13
8	from	12
9	about	12
10	i'm	12
11	out	12
12	there	11
13	like	11
14	it's	11
15	that's	10
16	know	10
17	doppio	9
18	now	9
19	where	9
20	right	9
21	huh	9
22	bring	9
23	hey	8
24	who	8
25	as	8
26	tell	8
27	one	8
28	up	8
29	looking	8
30	boss	8
31	what's	7
32	two	7
33	good	7
34	sardinia	7
35	please	7
36	need	7
37	years	6
38	can't	6
39	yes	6
40	someone	6
41	how	6
42	there's	6
43	let	6
44	go	6
45	if	6
46	more	5
47	he's	5
48	over	5
49	well	5
50	oh	5
