rank	word	count
1	going	28
2	doppio	20
3	it's	20
4	there	20
5	now	19
6	see	19
7	off	18
8	can	17
9	i'm	16
10	iron	16
11	boss	15
12	out	15
13	you're	15
14	body	15
15	if	14
16	get	14
17	right	13
18	from	12
19	that's	12
20	risotto	12
21	how	12
22	move	12
23	seconds	10
24	one	10
25	as	10
26	foot	10
27	then	9
28	saw	9
29	footage	9
30	can't	9
31	he's	9
32	scissors	9
33	within	9
34	there's	9
35	way	9
36	like	8
37	don't	8
38	ring	8
39	who	8
40	movements	7
41	need	7
42	damn	7
43	all	7
44	more	7
45	finish	7
46	i'll	7
47	time	6
48	future	6
49	where	6
50	few	6
