rank	word	count
1	right	24
2	here	20
3	abbacchio	19
4	up	18
5	all	16
6	get	15
7	bucciarati	15
8	from	14
9	i'm	14
10	you're	14
11	go	13
12	narancia	13
13	li'l	12
14	out	12
15	don't	12
16	there	12
17	if	12
18	it's	11
19	that's	11
20	bomber	10
21	know	10
22	he's	9
23	who	9
24	one	9
25	going	9
26	i'll	8
27	as	8
28	hell	8
29	any	8
30	hey	8
31	find	7
32	how	7
33	need	7
34	about	7
35	too	7
36	well	7
37	giorno	7
38	die	7
39	back	7
40	something	7
41	way	7
42	only	6
43	can	6
44	now	6
45	hurry	6
46	replay	6
47	away	6
48	time	6
49	probably	6
50	before	6
