rank	word	count
1	going	25
2	i'm	25
3	one	18
4	trish	16
5	boss	16
6	daughter	15
7	you're	15
8	right	14
9	i'll	13
10	go	11
11	protect	11
12	get	11
13	ability	10
14	can	10
15	path	10
16	now	9
17	up	9
18	resolve	9
19	out	8
20	stand	8
21	like	8
22	giorno	8
23	future	8
24	boss's	7
25	who	7
26	father	7
27	that's	7
28	after	7
29	bucciarati	7
30	take	7
31	there	7
32	movements	7
33	off	6
34	don't	6
35	even	6
36	if	6
37	it's	6
38	as	6
39	all	6
40	become	6
41	capo	6
42	because	5
43	when	5
44	too	5
45	true	5
46	anything	5
47	sh*t	5
48	we're	5
49	make	5
50	need	5
