rank	word	count
1	out	18
2	it's	16
3	up	16
4	from	16
5	that's	15
6	know	15
7	one	13
8	down	13
9	like	12
10	about	12
11	as	12
12	there	11
13	boss	11
14	come	11
15	don't	10
16	people	10
17	i'm	10
18	you're	10
19	if	9
20	get	9
21	who	9
22	stand	9
23	rome	9
24	there's	9
25	here	8
26	right	8
27	now	8
28	he's	8
29	bucciarati	8
30	find	8
31	going	8
32	defeat	8
33	tell	8
34	only	8
35	ring	8
36	time	7
37	can	7
38	go	7
39	arrow	7
40	see	7
41	gonna	7
42	mista	7
43	shore	7
44	sure	6
45	why	6
46	look	6
47	can't	6
48	thing	6
49	way	6
50	off	6
