rank	word	count
1	useless	50
2	giorno	21
3	mista	19
4	it's	14
5	i'm	14
6	right	13
7	helicopter	12
8	up	12
9	take	11
10	can't	11
11	number	11
12	if	11
13	now	10
14	all	10
15	back	10
16	he's	10
17	mold	10
18	i'll	9
19	there	9
20	when	9
21	can	8
22	how	8
23	too	8
24	b*ll*ts	8
25	as	7
26	going	7
27	hurry	7
28	feel	7
29	blessed	7
30	time	6
31	life	6
32	green	6
33	go	6
34	need	6
35	don't	6
36	why	6
37	body	6
38	two	6
39	five	6
40	because	6
41	despair	6
42	by	5
43	bucciarati	5
44	tea	5
45	ground	5
46	power	5
47	even	5
48	ability	5
49	like	5
50	there's	5
