rank	word	count
1	don't	18
2	up	16
3	ring	16
4	arrow	16
5	bucciarati	15
6	you're	15
7	see	15
8	right	15
9	who	14
10	there	14
11	go	13
12	one	13
13	out	12
14	time	12
15	can	12
16	he's	12
17	now	11
18	i'm	10
19	here	10
20	how	10
21	like	10
22	stand	10
23	where	9
24	trish	9
25	all	8
26	can't	8
27	know	8
28	it's	8
29	there's	8
30	that's	8
31	going	8
32	get	8
33	boss	7
34	if	7
35	from	7
36	more	7
37	as	7
38	arrows	7
39	cross	6
40	well	6
41	about	6
42	something	6
43	person	6
44	nearby	6
45	someone	6
46	won't	6
47	tell	6
48	polnareff	6
49	too	5
50	come	5
